Mutant Number,Line Number,Statement,Hits,Number of tests,Number of Asserts,Operator,Type of Statement,Complexity,LOC,DepthofNestedLoops,Total Duration,Label
68,136,return sys.exit(1) if (exit and not is_correct) else is_correct,30,13,29,LCR,return,7,275,3,40.57556, survived
69,242,"if (problem == 0 or option in {skip, verify_all}):",76,38,78,LCR,condition,7,275,3,40.57556, survived
70,103,if proc.poll() != 0:,34,14,31,ROR,condition,7,275,3,40.57556, survived
71,120,if len(output_lines) > 1:,30,13,29,ROR,condition,7,275,3,40.57556, survived
72,120,if len(output_lines) > 1:,30,13,29,ROR,condition,7,275,3,40.57556, survived
73,125,is_correct = output_lines[0] == solution,28,12,28,ROR,expression,7,275,3,40.57556, survived
74,185,if file.num != num:,2,1,5,ROR,condition,11,275,3,40.57556, survived
75,209,spacer = '   ' if problem % 5 == 0 else ' ',40,1,5,ROR,expression,11,275,3,40.57556, survived
76,212,"click.secho(status + spacer, nl=problem % 20 == 0)",40,1,5,ROR,expression,11,275,3,40.57556, survived
77,242,"if (problem == 0 or option in {skip, verify_all}):",76,38,78,ROR,condition,7,275,3,40.57556, survived
78,248,if problem == 0:,38,19,41,ROR,condition,7,275,3,40.57556, survived
